"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
53,NA,"Travel_Rarely",1219,"Sales",2,NA,"Life Sciences",1,171,1,"Female",78,2,4,"Manager",NA,NA,16229.2243710753,22021,2,"Y","No",14,3,3,80,0,31,3,3,25,8,3,7
38,"No","Travel_Rarely",371,"Research & Development",2,3,"Life Sciences",1,24,4,"Male",60,3,1,"Research Scientist",4,"Single",117.335512769851,12259,5,"Y","Yes",24,3,3,80,NA,6,3,3,58,2,1,2
24,"No","Non-Travel",673,NA,2,2,"Other",1,26,1,"Female",96,4,2,"Manufacturing Director",3,"Divorced",3320.29984539407,8232,0,NA,"No",18,3,4,80,1,5,5,2,4,2,1,3
36,"Yes","Travel_Rarely",1218,"Sales",9,NA,"Life Sciences",1,NA,3,NA,82,2,1,"Sales Representative",1,"Single",5792.21231730042,8788,7,"Y","No",23,4,2,80,0,10,4,3,5,3,0,3
34,"No",NA,419,"Research & Development",7,4,"Life Sciences",NA,NA,1,"Female",62,3,3,NA,2,"Single",13120.8747171026,21293,0,"Y","No",11,3,3,80,0,NA,5,3,12,1,2,11
46,"No","Travel_Rarely",391,"Research & Development",22,4,"Life Sciences",60,30,3,"Male",96,3,1,"Research Scientist",4,"Single",1684.54594426336,19281,1,"Y","No",14,3,4,NA,0,0,6,3,0,0,13,0
34,"Yes","Travel_Rarely",699,"Research & Development",6,1,"Medical",1,31,2,"Male",83,3,1,"Research Scientist",1,"Single",1755.76548324388,17102,2,"Y","No",11,3,NA,87,0,8,2,3,4,2,1,3
53,"No","Travel_Rarely",1282,"Research & Development",5,3,"Other",1,32,3,"Female",58,3,5,"Manager",3,"Divorced",5791.4643566938,24197,3,"Y","No",11,3,2,75,1,26,3,2,14,10,0,8
32,"Yes",NA,617,"Research & Development",16,1,"Life Sciences",1,33,2,"Female",72,1,1,"Research Scientist",3,"Single",9754.60950358536,23893,1,"Y","Yes",22,4,2,80,0,10,5,3,10,NA,6,7
42,"No","Travel_Rarely",691,"Sales",8,4,"Marketing",1,35,3,"Male",48,3,NA,"Sales Executive",4,"Married",75631,21173,0,NA,"No",11,NA,4,80,1,10,2,3,9,7,NA,2
44,"No","Travel_Rarely",477,"Research & Development",7,4,"Medical",1,36,1,"Female",42,2,3,"Healthcare Representative",4,"Married",10988.8648013994,2094,2,"Y","No",14,3,4,80,1,24,4,3,22,6,15,17
52,"No","Travel_Rarely",705,"Sales",2,4,"Marketing",1,38,2,"Female",83,NA,5,"Manager",1,"Single",NA,22822,8,"Y","No",12,3,4,80,0,22,2,2,2,2,2,1
33,"No","Travel_Rarely",924,"Research & Development",2,NA,"Medical",77,39,3,"Male",78,3,1,"Laboratory Technician",4,"Single",2679.99919772647,6670,4,"Y","No",11,3,4,80,0,7,3,3,1,1,0,0
44,"No","Travel_Rarely",1459,"Research & Development",10,NA,"Other",1,40,4,"Male",41,3,2,"Healthcare Representative",4,"Married",20479.6176283,19121,2,"Y","Yes",13,3,1,80,0,9,5,4,4,2,1,3
30,NA,"Travel_Rarely",NA,"Research & Development",9,2,"Medical",1,41,4,"Male",83,1,1,"Laboratory Technician",3,"Single",3890.49026410702,16117,1,"Y","No",13,3,1,80,NA,10,5,NA,10,0,1,8
39,"Yes","Travel_Rarely",119,"Sales",5,3,"Technical Degree",1,42,4,"Male",56,3,2,"Sales Representative",4,"Married",6121.18853149604,3335,3,"Y","No",14,3,3,80,1,19,6,3,30,0,0,0
NA,"Yes","Travel_Rarely",813,"Research & Development",7,1,"Medical",1,45,2,"Male",61,3,1,"Research Scientist",4,"Married",1369.13327077608,3020,2,"Y","Yes",16,3,1,80,1,6,2,2,NA,0,2,0
43,"No","Travel_Rarely",1273,"Research & Development",27,2,"Medical",1,46,2,"Female",72,4,1,"Research Scientist",3,"Divorced",4938.43584594821,21923,8,"Y","No",12,3,4,80,2,6,3,2,5,3,1,4
NA,"Yes","Travel_Rarely",869,"Sales",3,1,"Marketing",1,47,1,"Male",86,1,1,"Sales Representative",3,"Married",4260.22155419457,NA,1,"Y","Yes",NA,3,3,80,0,3,2,3,3,2,NA,2
35,"No","Travel_Rarely",890,"Sales",2,3,"Marketing",55,49,4,"Female",97,4,1,"Sales Representative",4,"Married",NA,9687,1,"Y","No",13,3,1,80,0,2,NA,NA,10,2,2,15
36,NA,"Travel_Rarely",852,"Research & Development",5,4,"Life Sciences",1,51,4,"Female",82,2,1,"Research Scientist",1,"Married",3852.80006840614,13072,7,"Y","Yes",14,3,4,80,1,6,3,4,1,1,6,0
33,"No","Travel_Frequently",1141,"Sales",1,3,"Life Sciences",1,52,3,"Female",42,4,2,"Sales Executive",1,"Married",6456.70879589864,3193,2,"Y","No",19,3,1,54,2,24,3,3,5,3,1,3
35,"No","Travel_Rarely",1214,"Research & Development",4,NA,"Other",1,53,3,"Male",75,3,1,"Laboratory Technician",2,"Divorced",5545.51162150273,10910,1,"Y","No",12,3,4,80,1,1,1,3,1,0,0,0
27,NA,"Travel_Rarely",1240,"Research & Development",18,4,"Life Sciences",1,54,4,"Female",33,3,1,"Laboratory Technician",1,"Divorced",8697.53960286553,19715,1,"Y","No",13,3,4,80,1,1,6,3,1,0,0,0
NA,"Yes","Travel_Rarely",1357,"Research & Development",25,3,"Life Sciences",1,55,1,"Male",48,NA,1,"Laboratory Technician",NA,"Single",NA,10558,1,"Y","No",12,3,3,80,0,1,2,2,1,0,0,1
56,"No","Travel_Frequently",994,"Sales",NA,3,"Life Sciences",1,56,4,"Male",37,3,3,"Sales Executive",3,"Single",11009.3849533181,2975,1,"Y","No",15,3,4,80,0,9,0,3,9,8,1,7
35,"No","Travel_Frequently",721,"Research & Development",1,2,"Medical",NA,57,3,"Female",58,3,2,"Laboratory Technician",4,"Single",15077.5249159804,10781,7,"Y","No",23,4,4,80,0,12,2,1,12,8,3,7
41,"Yes","Travel_Rarely",NA,"Research & Development",12,3,"Technical Degree",1,58,2,"Female",72,3,5,"Research Director",3,"Married",24700,16280,1,"Y","No",12,3,4,80,0,23,0,3,22,15,15,8
34,"No","Non-Travel",1065,"Sales",23,4,"Marketing",24,60,2,"Male",72,3,2,"Sales Executive",3,"Single",109139,NA,8,"Y","No",20,4,4,80,0,26,2,3,9,5,NA,NA
37,"No","Travel_Rarely",1341,"Research & Development",19,NA,"Life Sciences",1,61,2,"Male",73,NA,1,"Research Scientist",2,"Married",422.930664574507,10227,4,"Y","No",21,4,1,80,0,8,1,3,1,0,0,6
46,"No","Travel_Frequently",1211,"Sales",5,4,"Marketing",1,62,1,"Male",98,3,2,"Sales Executive",4,"Single",1042.83475408027,20445,4,"Y","Yes",21,4,3,80,0,14,4,3,9,6,0,8
37,"No","Travel_Rarely",1229,"Research & Development",8,1,"Life Sciences",1,63,4,"Male",52,4,NA,"Laboratory Technician",4,"Married",NA,4892,1,"Y","No",19,3,4,80,3,1,2,3,1,0,0,1
48,"Yes","Travel_Rarely",626,"Research & Development",1,2,"Life Sciences",1,64,1,"Male",98,2,3,"Laboratory Technician",3,"Single",4769.568849607,8096,9,"Y",NA,NA,3,4,80,0,23,2,3,1,0,0,2
60,"Yes",NA,299,"Research & Development",22,4,"Technical Degree",1,65,3,"Male",50,3,1,"Laboratory Technician",3,"Single",6024.11874109395,11179,1,"Y","Yes",13,3,2,80,0,2,3,2,2,2,2,2
44,"No","Travel_Rarely",711,"Sales",1,5,"Marketing",95,68,2,"Female",75,3,NA,"Sales Executive",1,"Divorced",NA,4009,5,"Y","Yes",21,4,3,80,1,9,2,2,64,NA,1,3
35,"No","Non-Travel",1097,"Research & Development",11,2,"Medical",NA,70,3,"Male",79,2,3,"Healthcare Representative",1,"Married",329.017278477873,10767,2,"Y","Yes",13,3,3,80,1,26,3,1,4,0,5,3
NA,"No","Travel_Rarely",NA,"Sales",23,3,"Marketing",1,72,NA,"Female",47,2,2,"Sales Executive",4,"Married",13790.9570300534,4756,7,"Y","Yes",19,3,3,80,1,5,2,2,NA,2,0,0
33,"No","Travel_Frequently",515,"Research & Development",1,2,"Life Sciences",1,73,1,"Female",98,4,3,"Research Director",4,"Single",17251.7617048982,15146,1,"Y","Yes",12,3,3,80,NA,15,2,3,NA,14,8,12
35,"No","Travel_Frequently",853,"Sales",18,5,"Life Sciences",1,74,2,"Male",71,3,3,"Sales Executive",3,"Married",274.657563637502,11031,6,"Y","No",22,4,4,80,1,9,3,2,NA,NA,1,8
35,"No","Travel_Rarely",1142,"Research & Development",NA,4,"Medical",1,75,3,"Female",74,3,1,"Laboratory Technician",1,"Married",29332.3583875356,NA,8,"Y","Yes",15,3,3,80,1,4,3,3,2,2,2,NA
31,"No","Travel_Rarely",664,"Research & Development",7,4,"Life Sciences",1,76,4,"Male",48,3,2,"Laboratory Technician",4,"Divorced",6012.47278090434,9528,3,"Y","No",22,4,4,80,1,10,3,2,7,7,2,7
40,"No","Travel_Rarely",1115,"Research & Development",17,4,"Life Sciences",86,77,1,"Male",51,NA,2,"Manufacturing Director",1,"Divorced",5807.46826539703,2689,1,"Y","No",NA,NA,3,80,1,NA,2,4,7,5,0,16
32,"No","Travel_Rarely",427,"Research & Development",NA,3,"Medical",1,1116,1,"Male",NA,3,2,"Manufacturing Director",1,"Married",8965.64227599322,10877,1,"Y","Yes",NA,4,2,80,3,9,3,1,9,8,7,4
38,"No","Travel_Frequently",653,NA,29,5,"Life Sciences",1,79,4,"Female",50,3,2,"Laboratory Technician",4,"Single",28.6408097609643,4221,1,"Y","No",11,NA,4,99,0,4,1,3,10,3,9,9
50,"No","Travel_Rarely",989,"Research & Development",7,2,"Medical",1,80,2,"Female",43,3,NA,"Research Director",NA,"Divorced",23667.7287193218,16701,5,"Y","Yes",12,3,NA,88,1,16,2,2,27,3,0,8
59,"No","Travel_Rarely",1483,"Sales",25,3,"Life Sciences",1,81,1,NA,99,3,3,"Sales Executive",1,"Single",11373.6893000152,2354,7,"Y","No",25,3,4,80,0,28,3,2,21,0,1,9
36,"No","Travel_Rarely",1223,"Research & Development",8,3,"Technical Degree",1,83,3,"Female",59,3,3,"Healthcare Representative",3,"Divorced",5335.72097414881,8202,1,NA,"No",13,3,2,80,3,17,2,3,17,14,12,8
51,"No","Travel_Rarely",836,"Research & Development",24,3,"Medical",40,84,NA,"Female",33,3,4,"Manager",3,"Divorced",28724.2437019333,19730,2,"Y","Yes",14,3,3,80,3,21,2,3,25,0,0,2
36,"No","Travel_Frequently",1195,"Research & Development",17,4,"Life Sciences",1,85,NA,"Male",95,2,1,"Manufacturing Director",2,"Single",NA,22656,1,"Y","No",13,3,3,80,1,6,3,3,6,5,0,3
50,"No","Travel_Rarely",1256,"Research & Development",7,3,"Life Sciences",1,86,2,"Male",59,3,3,"Research Scientist",1,"Divorced",18451.9324219003,6382,2,"Y","No",17,3,3,80,2,25,1,3,89,0,0,0
35,"No","Travel_Frequently",664,"Research & Development",1,3,"Medical",NA,88,2,"Male",79,3,1,"Research Scientist",NA,"Married",511.028760376316,5868,4,"Y","No",13,3,NA,80,1,5,4,2,3,2,1,2
36,"Yes","Travel_Rarely",318,"Research & Development",9,3,"Medical",1,90,4,"Male",79,2,1,"Research Scientist",2,"Married",12450.3937038183,21777,4,"Y","Yes",17,3,1,46,1,23,0,2,1,0,0,0
NA,"No","Travel_Frequently",1225,"Sales",1,1,"Life Sciences",NA,91,1,"Female",57,NA,2,"Sales Executive",3,"Single",17369.2647552189,NA,7,"Y","No",11,3,4,80,1,20,2,2,4,3,1,3
29,"No","Travel_Rarely",1328,"Research & Development",13,3,"Life Sciences",1,94,3,"Male",76,3,1,"Research Scientist",2,"Married",661.922392359856,12867,0,"Y","No",23,4,4,80,1,6,3,3,5,7,0,4
31,"No","Travel_Rarely",1082,"Research & Development",1,4,"Medical",1,95,3,"Male",70,4,1,NA,2,"Single",10459.067181755,18775,1,"Y","No",17,NA,1,80,0,1,4,3,1,1,1,0
32,"No","Travel_Rarely",548,"Research & Development",1,3,"Life Sciences",1,96,2,"Male",66,3,2,"Research Scientist",2,"Married",7612.79857192382,6587,1,"Y","No",17,3,2,80,2,10,2,3,10,4,0,9
36,"No","Travel_Rarely",132,"Research & Development",6,3,"Life Sciences",1,97,2,"Female",55,4,1,"Laboratory Technician",4,"Married",5511.63183505592,22002,3,"Y","No",13,3,2,80,0,5,3,3,1,17,0,0
31,"No","Travel_Rarely",746,"Research & Development",8,4,"Life Sciences",1,NA,3,"Female",61,3,2,"Manufacturing Director",1,"Single",49807,19259,NA,"Y","No",23,4,4,80,1,11,0,3,55,7,1,8
NA,"No","Travel_Rarely",776,"Sales",1,4,"Marketing",1,100,3,"Male",32,2,2,"Sales Executive",1,NA,564.459348477614,23016,0,"Y","No",14,3,2,80,0,16,NA,3,15,13,2,8
45,"No","Travel_Rarely",193,"Research & Development",6,4,"Other",1,101,4,"Male",47,3,3,"Research Director",1,"Married",3684.78012119119,15067,4,"Y","Yes",14,3,2,80,0,17,3,4,0,NA,0,0
50,"No",NA,397,"Research & Development",7,3,"Medical",1,102,1,"Male",43,3,3,"Research Director",NA,NA,7030.9694473201,25258,6,"Y","No",13,3,1,NA,0,16,3,4,5,2,0,2
NA,"No","Travel_Rarely",945,"Human Resources",5,2,"Medical",1,103,2,"Male",80,2,2,"Human Resources",2,"Divorced",92366,10425,8,"Y","Yes",22,4,NA,80,1,16,2,3,4,NA,0,2
30,"No","Travel_Rarely",852,"Research & Development",1,4,"Life Sciences",1,104,4,"Male",55,2,2,"Laboratory Technician",4,"Married",3265.75876549836,15998,NA,"Y","Yes",12,3,3,80,2,10,5,2,10,8,3,NA
35,"No","Travel_Rarely",1214,"Research & Development",1,3,"Medical",NA,105,2,"Male",NA,2,1,"Research Scientist",3,"Single",3023.00152726584,26278,NA,"Y","No",18,4,1,80,0,6,3,3,6,4,0,4
55,"No","Travel_Rarely",111,"Sales",1,2,"Life Sciences",1,106,NA,"Male",70,2,3,"Sales Executive",4,"Married",3159.13572800224,18092,3,"Y","No",14,3,4,80,1,24,3,3,5,0,NA,0
38,"No","Non-Travel",573,"Research & Development",6,3,"Medical",1,107,2,"Female",79,1,2,"Research Scientist",4,"Divorced",9162.05961714038,8612,3,"Y",NA,12,3,4,80,2,17,3,3,13,11,1,9
34,"No","Travel_Rarely",1153,"Research & Development",1,3,"Medical",1,110,1,"Male",94,3,2,"Manufacturing Director",2,"Married",372.047135582898,17736,1,"Y","No",15,3,3,80,0,5,2,3,5,2,12,3
56,"No","Travel_Rarely",1400,"Research & Development",7,3,"Life Sciences",NA,112,4,NA,49,1,3,NA,4,"Single",48472,21698,4,"Y","No",11,4,1,80,NA,37,3,2,6,4,0,2
23,"No","Travel_Rarely",541,"Sales",27,1,"Technical Degree",1,NA,3,"Male",62,3,1,"Sales Representative",1,"Divorced",687.100686099191,9518,3,"Y","No",13,NA,3,80,1,3,3,3,0,0,0,0
51,"No","Travel_Rarely",432,"Research & Development",9,4,"Life Sciences",1,116,4,"Male",96,3,2,"Laboratory Technician",1,"Married",4074.53082644133,18725,3,"Y","No",23,4,2,80,2,10,4,3,19,2,0,3
30,"No","Travel_Rarely",288,"Research & Development",2,3,"Life Sciences",1,117,3,"Male",99,2,2,"Healthcare Representative",4,"Married",NA,15830,1,NA,"No",NA,3,1,80,NA,1,3,3,NA,10,10,8
46,"Yes","Travel_Rarely",669,"Sales",9,2,"Medical",1,118,3,"Male",64,2,3,"Sales Executive",4,"Single",1184.04802527454,NA,1,"Y","No",18,4,4,80,0,9,3,3,9,8,4,7
40,"No","Travel_Frequently",760,"Research & Development",1,4,"Life Sciences",82,119,3,"Male",78,2,4,"Healthcare Representative",2,"Married",31137.1079581592,14115,1,"Y","No",22,4,4,80,1,22,3,2,110,3,2,11
NA,"No","Travel_Rarely",632,"Sales",21,4,"Marketing",1,120,3,"Male",71,2,2,"Sales Executive",4,"Single",18450.6841639584,8423,0,"Y","Yes",22,4,4,80,0,11,2,1,10,7,13,6
30,"No","Travel_Rarely",1334,"Sales",4,2,"Medical",1,121,3,"Female",63,2,2,"Sales Executive",2,"Divorced",28507.6632148046,19760,1,"Y","Yes",12,3,2,80,NA,11,4,2,11,8,2,7
46,"No","Travel_Frequently",659,"Research & Development",1,3,"Medical",1,704,3,"Male",40,2,3,"Healthcare Representative",3,"Married",20527,10275,NA,"Y","Yes",13,3,3,80,1,21,NA,2,10,9,NA,5
32,"No","Travel_Rarely",1093,"Sales",6,4,"Medical",1,125,2,"Male",87,3,2,"Sales Executive",3,"Single",2980.39200718752,24301,8,"Y","No",16,3,NA,80,0,12,6,2,11,8,5,7
54,"No","Travel_Rarely",NA,"Research & Development",2,4,"Technical Degree",64,1041,1,"Female",60,3,3,"Research Director",3,"Married",7897.08315984456,24001,9,"Y","No",12,3,NA,NA,1,16,5,1,4,3,0,5
24,"No","Travel_Rarely",1353,"Sales",3,3,"Other",1,128,1,"Female",33,3,5,"Sales Executive",3,"Married",3572.10556136693,17519,0,"Y","No",23,4,1,80,2,4,NA,2,52,2,5,16
28,"No","Non-Travel",120,"Sales",4,3,"Medical",1,129,1,"Male",43,2,2,"Sales Executive",3,"Married",92557,8863,1,"Y","No",15,3,2,80,0,5,4,4,5,4,0,4
58,"No","Travel_Rarely",682,NA,10,4,"Medical",1,131,4,"Male",37,3,4,"Sales Executive",1,"Single",14020.3400764486,24409,0,"Y","No",13,4,3,80,3,38,1,2,50,10,1,8
44,"No",NA,489,"Research & Development",23,2,"Medical",1,132,2,"Male",45,2,1,"Laboratory Technician",NA,"Married",3247.58318874131,25043,4,"Y","No",12,3,3,71,1,17,3,4,3,2,1,16
37,"Yes","Travel_Rarely",807,"Human Resources",6,4,"Human Resources",1,133,3,"Male",63,3,1,"Human Resources",1,"Divorced",124.714379255634,11496,3,"Y","Yes",22,4,4,80,0,7,3,3,3,2,0,2
32,"No","Travel_Rarely",827,"Research & Development",1,1,"Life Sciences",1,134,4,"Male",53,3,NA,"Research Scientist",1,"Single",496.240060491546,8691,1,"Y","No",13,3,4,80,0,1,2,3,1,0,NA,0
20,"Yes","Travel_Frequently",577,"Research & Development",6,3,"Life Sciences",1,137,4,"Female",96,1,1,"Laboratory Technician",4,"Single",16469.4464260922,19783,1,NA,"Yes",18,3,2,80,NA,1,5,3,1,0,1,0
34,"No","Travel_Rarely",665,"Research & Development",6,4,"Other",1,138,1,"Female",41,3,2,"Research Scientist",3,"Single",38798.186532995,12482,1,"Y","No",14,3,NA,80,0,16,3,3,16,13,2,10
37,"No","Non-Travel",1040,"Research & Development",2,2,"Life Sciences",NA,NA,3,"Male",100,2,2,"Healthcare Representative",4,"Divorced",10633.3390616977,15850,8,"Y","No",14,3,4,80,1,17,2,4,1,0,0,0
59,"No","Non-Travel",1420,"Human Resources",2,NA,"Human Resources",1,140,3,"Female",42,2,5,"Manager",4,"Married",8373.75135775768,21922,2,"Y","No",21,4,4,80,NA,30,3,3,NA,2,2,2
50,"No","Travel_Frequently",1115,"Research & Development",1,3,"Life Sciences",1,141,1,"Female",73,3,5,"Research Director",2,"Married",83566.5637379213,9755,3,"Y","Yes",19,3,1,80,0,28,1,2,8,3,0,11
25,"Yes","Travel_Rarely",240,"Sales",5,3,"Marketing",1,142,3,"Male",46,2,2,"Sales Executive",3,"Single",110450,26959,1,NA,"Yes",11,3,4,80,0,6,1,3,31,NA,0,3
25,"No","Travel_Rarely",1280,"Research & Development",7,1,"Medical",1,NA,4,"Male",NA,2,1,"Research Scientist",4,"Married",5697.02977460808,26897,1,"Y","No",11,3,3,80,1,38,2,1,2,2,2,1
NA,"No",NA,534,"Research & Development",15,3,NA,1,1471,2,"Female",50,3,1,"Laboratory Technician",4,"Single",527.372070148919,23785,1,"Y","No",15,3,NA,80,NA,1,5,3,0,10,0,0
51,"No","Travel_Frequently",1456,NA,1,4,"Medical",1,145,1,"Female",30,2,3,"Healthcare Representative",1,"Single",NA,25796,3,NA,"No",20,4,3,80,0,23,1,2,13,12,12,8
34,"Yes","Travel_Frequently",658,"Research & Development",7,3,"Life Sciences",1,147,1,"Male",66,1,2,"Laboratory Technician",3,"Single",12984.0640094647,NA,1,"Y","Yes",24,4,3,80,0,9,0,4,9,7,0,6
54,"No","Non-Travel",142,"Human Resources",26,3,"Human Resources",1,148,4,"Female",NA,4,4,"Manager",4,"Single",51036.4813520933,NA,NA,"Y","Yes",12,3,NA,80,NA,23,3,3,5,3,4,6
24,"No","Travel_Rarely",1127,"Research & Development",18,1,"Life Sciences",1,150,2,"Male",52,3,1,"Laboratory Technician",3,"Married",5515.03323230033,13257,0,"Y","No",12,3,1,11,1,26,2,3,5,3,1,2
34,"No","Travel_Rarely",1031,"Research & Development",20,4,"Life Sciences",34,151,3,"Female",45,2,2,"Research Scientist",2,"Divorced",17368.620630082,15000,6,"Y","No",15,NA,NA,80,1,12,3,3,1,0,0,0
43,"No",NA,1189,"Sales",3,3,"Life Sciences",1,152,3,"Male",87,3,3,"Sales Executive",4,"Single",8199.33631012194,NA,2,"Y",NA,NA,3,1,80,0,12,3,3,59,3,1,17
NA,"No",NA,1354,"Research & Development",17,3,"Medical",1,153,3,"Female",45,2,2,"Manager",1,"Single",19739.5073348153,5615,2,"Y","No",12,3,4,80,0,14,6,1,11,10,5,2
36,"No","Travel_Frequently",1467,"Sales",11,2,"Technical Degree",NA,154,2,"Female",90,NA,3,"Sales Executive",4,"Married",6738.52408282659,22952,0,"Y","No",14,3,4,80,1,10,6,3,9,7,2,8
36,"No","Travel_Rarely",922,"Research & Development",3,2,"Life Sciences",1,155,1,NA,39,3,5,"Laboratory Technician",2,"Divorced",44.4122440611156,NA,5,"Y","No",22,4,1,80,1,7,2,3,1,0,0,0
43,"No",NA,394,"Sales",26,2,"Life Sciences",1,491,3,"Male",92,3,4,"Manager",4,"Married",35955.5664143939,19494,1,"Y","Yes",12,3,4,80,2,18,3,4,25,12,4,12
30,"No","Travel_Frequently",1312,"Research & Development",23,3,"Life Sciences",1,159,3,"Male",96,1,1,"Research Scientist",3,"Divorced",7992.44632097768,22310,1,"Y","No",25,4,3,80,3,10,2,2,10,15,0,9
33,"No","Non-Travel",NA,"Sales",22,2,"Marketing",1,160,3,"Male",95,NA,2,"Sales Executive",2,"Married",1761.4658250043,15480,0,"Y","No",14,3,1,80,1,8,2,4,7,7,0,7
56,NA,"Travel_Rarely",788,"Research & Development",14,4,"Life Sciences",1,161,2,"Female",72,3,1,"Research Scientist",2,"Married",216.328991680965,NA,9,NA,"Yes",18,3,1,80,3,7,1,3,5,4,NA,3
37,"No","Travel_Rarely",NA,NA,6,3,"Life Sciences",1,1945,1,"Male",48,3,3,"Research Director",1,"Single",5266.993695639,6462,NA,"Y","No",13,3,3,80,0,23,5,3,20,18,15,10
